Dataset,Augmentation,SyntheticRatio,BaseRatio,n_train_rows,fit_s,RMSE,MAE,R2,VAL_RMSE,VAL_MAE,VAL_R2,dRMSE_vs_REAL
REAL_ONLY,brak,0.0,0.0,93952,1.9,11.111493008132243,9.337057367573937,0.5154972553458859,10.707530208609437,8.456960293320478,0.48852365845120305,0.0
CLUSTER_AWARE_CLASSICAL@0.25,CLUSTER_AWARE_CLASSICAL,0.24931880108991825,0.25,117376,1.9,11.054845977785655,9.249762056925832,0.5204247087366388,10.312987591573174,8.0392103270042,0.5255221709832822,-0.05664703034658736
CLUSTER_AWARE_CLASSICAL@0.5,CLUSTER_AWARE_CLASSICAL,0.4986376021798365,0.5,140800,1.9,10.790684436696267,9.053203326565027,0.5430702961479736,10.273082899703114,8.137747313563523,0.5291869209598008,-0.3208085714359754
CLUSTER_AWARE_CLASSICAL@1.0,CLUSTER_AWARE_CLASSICAL,1.0,1.0,187904,2.2,11.055853663475292,9.295512076980996,0.5203372750112834,10.762247410536409,8.515394933069079,0.48328284911197306,-0.055639344656951195
CLUSTER_AWARE_GAN@0.5,CLUSTER_AWARE_GAN,0.4986376021798365,0.5,140800,1.7,11.036432851943268,9.247844094046695,0.52202095460259,10.404554530688507,8.249905264663619,0.5170591803365561,-0.07506015618897521
CLUSTER_AWARE_GAN@1.0,CLUSTER_AWARE_GAN,1.0,1.0,187904,2.0,10.887541467229724,9.135341014172965,0.53483069300014,10.631779882680204,8.517985241180208,0.49573492940141484,-0.2239515409025188
GLOBAL_AUG@0.25,GLOBAL_AUG,0.24931880108991825,0.25,117376,2.3,11.169279100785714,9.41288457392932,0.5104447710398154,10.7282706828172,8.453791921280999,0.48654028119077597,0.05778609265347079
GLOBAL_AUG@0.5,GLOBAL_AUG,0.4986376021798365,0.5,140800,1.8,11.124151391037019,9.430466324298147,0.5143927206678546,10.546725329243223,8.251590479327295,0.5037709271495492,0.012658382904776389
GLOBAL_AUG@1.0,GLOBAL_AUG,1.0,1.0,187904,2.2,11.040446283044524,9.257424235235389,0.5216732544359637,10.524806703220625,8.32829543375165,0.5058313500724927,-0.0710467250877187
GLOBAL_GAN@0.5,GLOBAL_GAN,0.4986376021798365,0.5,140800,1.8,11.012220172318868,9.207260255151,0.5241159174509321,10.674230237328263,8.42807038516856,0.4917000516100304,-0.09927283581337498
GLOBAL_GAN@1.0,GLOBAL_GAN,1.0,1.0,187904,2.0,11.160210957473483,9.27918815105356,0.5112393710882317,11.280813233471289,8.977773854545909,0.43228842174427873,0.048717949341240185
HYBRID_AUG@1.0,HYBRID_AUG,1.0,1.0,187904,2.3,11.141677738529475,9.389906392092739,0.5128613451595121,10.282569648649377,8.114421160979566,0.5283169683217384,0.030184730397232684
CLUSTER_AWARE_GMM@1.0,cluster-aware (gmm),0.9768392370572208,1.0,185728,2.3,11.102166538524749,9.30764849954697,0.5163102520739165,10.352000223648437,8.260572066255808,0.5219256107421457,-0.009326469607493948
