Dataset,cluster_id,n,RMSE,MAE,R2
REAL_ONLY,0,4480,13.368869252388246,11.668451004279436,0.223243040565414
REAL_ONLY,1,20352,10.54992039514362,8.823857510437506,0.5723684607522648
CLUSTER_AWARE_CLASSICAL@1.0,0,4480,12.635628366640097,11.013397519397447,0.30611182008476057
CLUSTER_AWARE_CLASSICAL@1.0,1,20352,10.590577587737013,8.84921621851089,0.5690661041883469
CLUSTER_AWARE_GAN@1.0,0,4480,12.630750703501736,10.90251346291689,0.3066474324720265
CLUSTER_AWARE_GAN@1.0,1,20352,10.658209674426372,8.930498915446382,0.5635445886496153
GLOBAL_AUG@1.0,0,4480,12.538321458756283,10.766658020252148,0.3167579273037968
GLOBAL_AUG@1.0,1,20352,10.68255776555032,8.925202961804029,0.5615481943798599
GLOBAL_GAN@1.0,0,4480,12.779015971616285,11.195938100748007,0.29027414429454435
GLOBAL_GAN@1.0,1,20352,10.781794297006712,9.020383595527038,0.5533642866838153
HYBRID_AUG@1.0,0,4480,13.119105598824028,11.240013932441535,0.25199542028323696
HYBRID_AUG@1.0,1,20352,10.47643297959201,8.698450789470053,0.5783052043996404
