augmentation_method,source_cluster,source_segment_id,source_segment_id_2,source_profile_id,lam,duration_s,n_samples_original,augmentation_ratio,cluster_ratio,is_synthetic,variant,split,segment_id,length_reconstructed
jitter,0,76_1015,,76,,200.0,400,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00000,False
jitter,0,66_756,,66,,700.0,1400,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00001,False
jitter,0,70_874,,70,,240.0,480,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00002,False
jitter,0,53_365,,53,,120.0,240,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00003,False
jitter,0,66_777,,66,,395.0,790,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00004,False
jitter,0,68_835,,68,,515.0,1030,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00005,False
jitter,0,73_926,,73,,725.0,1450,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00006,False
jitter,0,61_646,,61,,360.0,720,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00007,False
jitter,0,74_976,,74,,145.0,290,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00008,False
jitter,0,72_916,,72,,180.0,360,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00009,False
jitter,0,74_956,,74,,310.0,620,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00010,False
jitter,0,66_762,,66,,835.0,1670,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00011,False
jitter,0,79_1057,,79,,410.0,820,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00012,False
jitter,0,61_653,,61,,125.0,250,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00013,False
jitter,0,53_356,,53,,410.0,820,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00014,False
jitter,0,62_673,,62,,185.0,370,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00015,False
jitter,0,66_772,,66,,475.0,950,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00016,False
jitter,0,53_350,,53,,225.0,450,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00017,False
jitter,0,53_379,,53,,460.0,920,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00018,False
jitter,0,80_1079,,80,,980.0,1960,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00019,False
jitter,0,70_865,,70,,120.0,240,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00020,False
jitter,0,55_421,,55,,845.0,1690,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00021,False
jitter,0,62_672,,62,,210.0,420,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00022,False
jitter,0,46_225,,46,,160.0,320,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00023,False
jitter,0,76_1003,,76,,205.0,410,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00024,False
jitter,0,78_1033,,78,,480.0,960,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00025,False
jitter,0,76_1006,,76,,195.0,390,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00026,False
jitter,0,79_1052,,79,,215.0,430,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00027,False
jitter,0,74_954,,74,,125.0,250,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00028,False
jitter,0,80_1101,,80,,410.0,820,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00029,False
jitter,0,66_773,,66,,270.0,540,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00030,False
jitter,0,74_972,,74,,325.0,650,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00031,False
jitter,0,66_791,,66,,550.0,1100,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00032,False
jitter,0,62_666,,62,,560.0,1120,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00033,False
jitter,0,78_1037,,78,,210.0,420,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00034,False
jitter,0,63_681,,63,,165.0,330,0.25,0.2535211267605634,True,CLUSTER_AWARE_CLASSICAL,train,syn_CLUSTER_AWARE_CLASSICAL_r25_00035,False
