cov,K,BIC,AIC,silhouette,confidence
full,2,24907.1738991723,20055.746873983986,0.18529476216910654,0.9977741379931413
full,3,22341.38221237982,15061.942420083042,0.14632975353686067,0.9987826623171082
full,4,24874.49536492829,15167.042805523051,0.19638520262735634,0.9995532605249504
full,5,23481.008283085095,11345.54295657139,0.17780681765198933,0.9995401997420645
full,6,23593.803521468108,9030.325427845939,0.1769133611649577,0.9992046562464522
full,7,25344.489666541598,8352.998805810963,0.17349309377702674,0.9995032274126077
full,8,24584.21567588689,5164.712048047793,0.15794461340748822,0.9998124334810908
full,9,26798.606905876488,4951.090510928926,0.16703037386406194,0.9999381983633913
full,10,26405.799220215522,2130.270058159498,0.1478202159515606,0.999668960635828
diag,2,52152.717392201885,51577.90376362507,0.23881033867469498,0.9983642222597847
diag,3,42623.335240022156,41758.815542642624,0.1445706569376328,0.9955540578359965
diag,4,40835.983353037904,39681.75758685566,0.14046934863960844,0.9953833981638247
diag,5,37138.77767302645,35694.845838041496,0.09069497829263506,0.9964966332757345
diag,6,35873.57774963937,34139.939845851695,0.1112159171816923,0.9955960465844578
diag,7,34175.89988454122,32152.555911950833,0.09433056500587507,0.9940555157522493
diag,8,32178.26889552598,29865.21885413288,0.10369043517477815,0.9935900599200358
diag,9,30138.561611178484,27535.805500982668,0.09568558525567077,0.9941372346109167
diag,10,28839.213352561943,25946.751173563414,0.09305403105582162,0.9942272260881068
tied,2,32911.89048194886,30341.323934953347,0.24385733345811678,0.9762683915317952
tied,3,32342.34684088254,29624.62800497136,0.1676189771946969,0.9919406768100477
tied,4,32045.971834941825,29181.10071011498,0.17515025018904812,0.9845377925208243
tied,5,31813.29744458238,28801.27403083987,0.18188850812407859,0.9786139069760091
tied,6,31443.70061736332,28284.524914705147,0.13108089182781762,0.9818504437062752
tied,7,31208.563875114065,27902.23588354023,0.14882426143206712,0.9843557787734594
tied,8,30862.391873794546,27408.911593305045,0.1491721769052234,0.9806847944619983
tied,9,30759.24187688794,27158.609307482773,0.15631467506868,0.9853237612597473
tied,10,30628.142313646906,26880.357455326077,0.12066162419182101,0.9813826485799271
spherical,2,58703.30263395747,58404.39954709753,0.25257504936276814,0.98692555923259
spherical,3,56464.964866067035,56014.31098126281,0.21686754441631217,0.9857027163914448
spherical,4,54029.85061847909,53427.44593573059,0.19531398334655128,0.9802557361797536
spherical,5,52107.770497869824,51353.61501717704,0.1580894583833536,0.9774854922128062
spherical,6,50975.42842944503,50069.52215080797,0.1615578386540718,0.977458918860299
spherical,7,50237.308988311896,49179.65191173056,0.13745527234374574,0.9800237733414826
spherical,8,49362.885294568565,48153.477420042946,0.12545424303431277,0.9800336492247456
spherical,9,48696.83752991654,47335.67885744665,0.13677153293338273,0.9774284993443624
spherical,10,47824.01892718709,46311.109456772916,0.13199778423813965,0.9795395122285641
