feature_a,feature_b,pearson,spearman,abs_pearson,nonlinearity
i_q,torque,0.996457261765287,0.9738308840839991,0.996457261765287,-0.022626377681287946
stator_tooth,stator_winding,0.9701347167288518,0.9765552944782477,0.9701347167288518,0.006420577749395973
stator_yoke,stator_tooth,0.9531145343543941,0.9652446103876513,0.9531145343543941,0.01213007603325722
coolant,stator_yoke,0.8607502848017003,0.8269031209725142,0.8607502848017003,-0.03384716382918618
stator_yoke,stator_winding,0.8602683561816998,0.8969420932995686,0.8602683561816998,0.03667373711786881
pm,stator_tooth,0.8320839020866841,0.8386164611618744,0.8320839020866841,0.006532559075190236
pm,stator_winding,0.7958925135203418,0.7993729826819792,0.7958925135203418,0.003480469161637356
pm,stator_yoke,0.7566842767934553,0.7990970983659225,0.7566842767934553,0.042412821572467174
u_d,torque,-0.7537790103072398,-0.8333433551263937,0.7537790103072398,0.07956434481915386
u_d,i_q,-0.723068929729247,-0.8301083248746087,0.723068929729247,0.10703939514536176
i_d,motor_speed,-0.7006085022422485,-0.745829883151518,0.7006085022422485,0.045221380909269526
u_q,motor_speed,0.6835560102081114,0.750974353260109,0.6835560102081114,0.06741834305199756
coolant,stator_tooth,0.6749735906783181,0.6910943756408575,0.6749735906783181,0.016120784962539436
i_d,stator_winding,-0.6243696271101572,-0.6138906873694221,0.6243696271101572,-0.010478939740735105
coolant,ambient,0.5259632835753959,0.5898137234649713,0.5259632835753959,0.0638504398895754
ambient,stator_yoke,0.5203815932379174,0.5498355783649332,0.5203815932379174,0.029453985127015803
ambient,pm,0.5137278560161199,0.535961319722809,0.5137278560161199,0.022233463706689105
coolant,stator_winding,0.5048351870246227,0.5669360410644878,0.5048351870246227,0.062100854039865094
i_d,stator_tooth,-0.4870620853702544,-0.49904362839748345,0.4870620853702544,0.011981543027229036
coolant,pm,0.4671173192332406,0.5488365583207805,0.4671173192332406,0.08171923908753986
motor_speed,pm,0.4589470788016,0.4049022132178392,0.4589470788016,-0.054044865583760815
u_d,i_d,0.44833077574494645,0.5091306138625268,0.44833077574494645,0.06079983811758033
ambient,stator_tooth,0.44346970661385576,0.4645222927465426,0.44346970661385576,0.021052586132686846
motor_speed,stator_winding,0.4320338984383032,0.4299787275281101,0.4320338984383032,-0.0020551709101930826
i_d,pm,-0.42773622431839087,-0.39247431286726503,0.42773622431839087,-0.03526191145112584
motor_speed,stator_tooth,0.398430748547339,0.3885712049319096,0.398430748547339,-0.0098595436154294
ambient,stator_winding,0.3332083141064483,0.37314594174112947,0.3332083141064483,0.03993762763468117
torque,ambient,-0.31574707298805155,-0.3143717610500806,0.31574707298805155,-0.0013753119379709688
i_q,ambient,-0.314043776954102,-0.30383017774585586,0.314043776954102,-0.01021359920824616
u_d,motor_speed,-0.2884719961315925,-0.3787870711814258,0.2884719961315925,0.09031507504983327
i_d,stator_yoke,-0.2780047621059891,-0.3398168476669192,0.2780047621059891,0.0618120855609301
