column,dtype,non_null,missing,missing_pct,n_infinite,n_unique,is_constant,mean,std
u_q,float64,1330816,0,0.0,0,1271775,False,54.27900454651284,44.173233561848434
coolant,float64,1330816,0,0.0,0,1110504,False,36.22999484011878,21.786148973435203
stator_winding,float64,1330816,0,0.0,0,1262754,False,66.34274539496708,28.672060878743295
u_d,float64,1330816,0,0.0,0,1295778,False,-25.133809392586183,63.09197160095296
stator_tooth,float64,1330816,0,0.0,0,1229045,False,56.87858199679097,22.952233065759017
motor_speed,float64,1330816,0,0.0,0,777565,False,2202.0807277889803,1859.6633503968424
i_d,float64,1330816,0,0.0,0,1047491,False,-68.71680961864897,64.93323319205702
i_q,float64,1330816,0,0.0,0,1024944,False,37.41278234749548,92.18187965028761
pm,float64,1330816,0,0.0,0,1316978,False,58.506775850615576,19.00149771397544
stator_yoke,float64,1330816,0,0.0,0,1228478,False,48.18796486490304,19.991003998315392
ambient,float64,1330816,0,0.0,0,1193938,False,24.56525595208175,1.9295218592241008
torque,float64,1330816,0,0.0,0,1157267,False,31.10603237973444,77.13575481089514
profile_id,int64,1330816,0,0.0,0,69,False,40.793061550206794,25.045493677447617
