profile_id,split,samples
2,test,19357
3,val,19248
4,train,33424
5,train,14788
6,test,40388
7,train,14651
8,train,18757
9,val,20336
10,train,15256
11,train,7887
12,test,21942
13,train,35906
14,test,18598
15,train,18124
16,train,20645
17,train,15964
18,val,37732
19,val,10410
20,test,43971
21,train,17321
23,train,11856
24,train,15015
26,test,16666
27,train,35361
29,train,21358
30,train,23863
31,train,15587
32,train,20960
36,train,22609
41,train,16700
42,train,16920
43,test,8443
44,val,26341
45,test,17142
46,train,2180
47,train,2176
48,train,21983
49,train,10816
50,train,10810
51,train,6261
52,train,3726
53,train,32442
54,val,10807
55,train,10807
56,test,33123
57,train,14403
58,val,33382
59,test,7475
60,train,14543
61,train,14516
62,train,25600
63,train,16668
64,train,6250
65,test,40094
66,train,36476
67,val,11135
68,train,23331
69,val,15350
70,train,25677
71,val,14656
72,train,15301
73,train,16786
74,train,23761
75,val,13472
76,train,22188
78,train,8445
79,train,31154
80,train,23824
81,train,17672
