profile_id,transient_pct,n_stable_runs,median_stable_run_s
2,0.27,5,4.0
3,0.2,9,2.5
4,0.22,6,2356.2
5,0.26,5,3.5
6,0.35,9,653.0
7,0.16,2,3657.0
8,0.13,2,4683.2
9,0.12,2,5078.0
10,0.1,2,3810.0
11,16.94,81,26.0
12,0.1,2,5479.8
13,0.06,2,8971.2
14,0.12,2,4643.8
15,0.14,2,4524.8
16,0.11,2,5155.8
17,0.16,2,3984.5
18,0.06,2,9427.2
19,0.25,2,2596.0
20,0.32,11,1959.0
21,0.12,2,4325.2
23,0.2,2,2958.0
24,0.17,2,3747.2
26,0.15,2,4160.2
27,0.34,9,1913.5
29,0.65,10,751.5
30,0.27,7,1768.0
31,0.23,3,3232.5
32,0.26,5,1292.5
36,0.03,1,11301.5
41,0.47,5,1212.0
42,0.64,9,657.0
43,5.14,45,17.5
44,0.62,12,819.8
45,0.26,4,1749.8
46,0.5,1,1084.5
47,0.87,1,1078.5
48,0.07,1,10984.0
49,0.13,1,5401.0
50,0.06,1,5402.0
51,1.47,7,86.0
52,3.46,9,58.0
53,0.77,19,590.0
54,0.84,6,592.5
55,0.84,6,592.2
56,0.08,2,8274.2
57,0.04,1,7198.5
58,0.06,2,8340.8
59,0.28,2,1863.5
60,1.4,17,285.0
61,1.37,14,493.8
62,0.64,11,423.5
63,0.97,13,259.5
64,2.48,12,243.5
65,0.54,12,628.0
66,0.59,20,39.8
67,1.47,11,423.5
68,5.19,74,100.2
69,6.63,59,72.0
70,8.4,129,62.0
71,8.93,72,74.8
72,9.2,82,67.5
73,3.53,41,106.5
74,1.06,14,635.8
75,1.15,13,275.0
76,1.57,22,436.2
78,1.88,11,368.5
79,1.02,20,720.0
80,4.82,68,99.5
81,2.44,27,97.5
