profile_id,pm_acf_decay_s,torque_acf_decay_s,pm_lag_vs_drive_s
2,,,300.0
3,,,300.0
4,,,300.0
5,,,300.0
6,,,300.0
7,,788.5,300.0
8,,,9.0
9,,,7.5
10,867.5,733.5,269.5
11,377.0,7.0,189.0
12,,,6.5
13,,,300.0
14,,,2.5
15,,,0.0
16,,,300.0
17,,,5.0
18,,,300.0
19,473.5,587.5,2.5
20,,459.0,300.0
21,,,300.0
23,,,5.0
24,,,1.5
26,,,3.5
27,,317.5,300.0
29,780.0,331.0,300.0
30,,541.5,300.0
31,450.5,667.0,300.0
32,710.5,554.5,0.0
36,544.5,175.0,58.0
41,549.5,608.5,300.0
42,,371.5,192.5
43,593.5,201.5,277.0
44,,699.0,201.5
45,,338.0,300.0
46,90.0,105.0,188.0
47,138.0,104.5,145.5
48,636.0,,300.0
49,486.5,,300.0
50,542.0,,300.0
51,635.5,122.0,109.5
52,217.5,107.0,61.0
53,,84.0,143.0
54,553.0,82.5,300.0
55,399.5,82.5,185.5
56,,,300.0
57,,645.5,0.0
58,,,0.0
59,579.0,479.5,26.0
60,792.5,139.5,155.0
61,,64.5,300.0
62,,106.0,300.0
63,773.0,98.0,300.0
64,559.5,53.5,300.0
65,,144.0,300.0
66,,109.5,300.0
67,712.5,106.0,294.0
68,,72.0,84.0
69,,48.5,205.0
70,,45.0,165.5
71,,55.0,183.5
72,,36.0,158.5
73,,91.5,91.5
74,560.5,112.5,162.5
75,,58.5,202.5
76,576.0,55.0,300.0
78,578.0,48.0,300.0
79,888.0,89.5,289.0
80,,57.5,124.0
81,,62.0,300.0
