variable,max_profile_id,max_value,avg_profile_id,avg_value
u_q,66,133.0369935103849,17,107.54517306188792
u_d,6,131.46978759765625,49,23.41643881290426
i_q,36,301.7078552246094,18,121.96797646109763
i_d,29,0.0518967024981975,5,-19.47608708036665
motor_speed,4,6000.01513671875,19,5979.232827209099
torque,36,261.0057067871094,18,100.29387864798898
coolant,59,101.59851208096164,46,91.01030524599574
ambient,20,30.714204788208008,58,27.80555664711956
pm,24,113.60662841796876,46,88.98492912925987
stator_yoke,58,101.14796436478986,46,96.43842018288554
stator_tooth,73,111.94642341392526,46,103.10073038677606
stator_winding,29,141.36288452148438,46,113.4722171463596
