Model,Dataset,n_real_obs,n_syn_seg,n_syn_obs,synthetic_pct,RMSE,MAE,R2,dRMSE_pct
Ridge,REAL_ONLY,93952,0,0,0.0,10.232043657414025,8.32654857635498,0.5891566872596741,0.0
Ridge,CLUSTER_AWARE_CLASSICAL,93952,734,93952,100.0,10.19301526142431,8.247668266296387,0.5922849178314209,0.38
Ridge,CLUSTER_AWARE_GAN,93952,734,93952,100.0,10.296603440913591,8.4151029586792,0.5839558839797974,-0.63
Ridge,GLOBAL_AUG,93952,734,93952,100.0,10.062030662822009,8.163544654846191,0.6026961803436279,1.66
Ridge,GLOBAL_GAN,93952,734,93952,100.0,10.394821902644379,8.356314659118652,0.5759807825088501,-1.59
Ridge,HYBRID_AUG,93952,734,93952,100.0,10.294996909409255,8.360639572143555,0.5840857028961182,-0.62
RandomForest,REAL_ONLY,93952,0,0,0.0,11.610547998656289,9.694986343383789,0.4709985852241516,0.0
RandomForest,CLUSTER_AWARE_CLASSICAL,93952,734,93952,100.0,11.5827228925021,9.603565216064453,0.47353100776672363,0.24
RandomForest,CLUSTER_AWARE_GAN,93952,734,93952,100.0,11.40477569667226,9.473062515258789,0.48958319425582886,1.77
RandomForest,GLOBAL_AUG,93952,734,93952,100.0,11.491173715694051,9.533280372619629,0.4818205237388611,1.03
RandomForest,GLOBAL_GAN,93952,734,93952,100.0,11.549197240898593,9.518786430358887,0.4765743017196655,0.53
RandomForest,HYBRID_AUG,93952,734,93952,100.0,11.46128897722814,9.458513259887695,0.48451220989227295,1.29
KNN,REAL_ONLY,93952,0,0,0.0,13.929821687694949,11.15194320678711,0.23854798078536987,0.0
KNN,CLUSTER_AWARE_CLASSICAL,93952,734,93952,100.0,13.908654440130466,11.16211223602295,0.24086034297943115,0.15
KNN,CLUSTER_AWARE_GAN,93952,734,93952,100.0,13.810841180262893,11.138947486877441,0.2515001893043518,0.85
KNN,GLOBAL_AUG,93952,734,93952,100.0,13.480431396644859,10.812567710876465,0.28688591718673706,3.23
KNN,GLOBAL_GAN,93952,734,93952,100.0,13.791756774669448,11.12501049041748,0.2535673975944519,0.99
KNN,HYBRID_AUG,93952,734,93952,100.0,13.844613558527408,11.21126937866211,0.2478349804878235,0.61
HistGB,REAL_ONLY,93952,0,0,0.0,11.11149343044772,9.337057113647461,0.5154972076416016,0.0
HistGB,CLUSTER_AWARE_CLASSICAL,93952,734,93952,100.0,11.055853447236778,9.295512199401855,0.5203372240066528,0.5
HistGB,CLUSTER_AWARE_GAN,93952,734,93952,100.0,10.887541456176455,9.13534164428711,0.5348306894302368,2.02
HistGB,GLOBAL_AUG,93952,734,93952,100.0,11.040446049621789,9.257424354553223,0.5216732025146484,0.64
HistGB,GLOBAL_GAN,93952,734,93952,100.0,11.160211281912794,9.27918815612793,0.5112392902374268,-0.44
HistGB,HYBRID_AUG,93952,734,93952,100.0,11.141677528514908,9.389906883239746,0.5128613114356995,-0.27
