Model,Dataset,cluster_id,n_test,RMSE,MAE,R2,nRMSE
Ridge,REAL_ONLY,0,4480,12.320126722600603,10.2406005859375,0.34033089876174927,0.18884010276651217
Ridge,REAL_ONLY,1,20352,9.712303255854989,7.905216693878174,0.6375769376754761,0.11715826503008127
RandomForest,REAL_ONLY,0,4480,14.19433697889788,12.475447654724121,0.12435919046401978,0.21756757167768584
RandomForest,REAL_ONLY,1,20352,10.96029537220581,9.082934379577637,0.5384530425071716,0.13221263341944742
KNN,REAL_ONLY,0,4480,14.44782683718845,11.917202949523926,0.09280461072921753,0.22145300662228315
KNN,REAL_ONLY,1,20352,13.813187111727466,10.983489990234375,0.26690685749053955,0.16662669954938564
HistGB,REAL_ONLY,0,4480,13.368868269002627,11.668451309204102,0.22324317693710327,0.20491497487271926
HistGB,REAL_ONLY,1,20352,10.549920350266758,8.823858261108398,0.5723684430122375,0.12726233231007084
Ridge,CLUSTER_AWARE_CLASSICAL,0,4480,12.359196600126804,10.21511459350586,0.33614039421081543,0.18943895697095703
Ridge,CLUSTER_AWARE_CLASSICAL,1,20352,9.651116546708186,7.814611911773682,0.6421290040016174,0.11642017762715569
RandomForest,CLUSTER_AWARE_CLASSICAL,0,4480,13.766495676033252,11.79670238494873,0.1763501763343811,0.2110097174104482
RandomForest,CLUSTER_AWARE_CLASSICAL,1,20352,11.083961143973452,9.137005805969238,0.5279789566993713,0.1337043977190402
KNN,CLUSTER_AWARE_CLASSICAL,0,4480,14.53079216348639,11.956974983215332,0.08235573768615723,0.22272468029065703
KNN,CLUSTER_AWARE_CLASSICAL,1,20352,13.768201398547907,10.987495422363281,0.2716740369796753,0.16608404267712615
HistGB,CLUSTER_AWARE_CLASSICAL,0,4480,12.635628333943457,11.013398170471191,0.30611181259155273,0.19367603977028416
HistGB,CLUSTER_AWARE_CLASSICAL,1,20352,10.590577857485812,8.84921646118164,0.569066047668457,0.12775277859049983
Ridge,CLUSTER_AWARE_GAN,0,4480,12.538817900651685,10.426437377929688,0.3167038559913635,0.19219215144808435
Ridge,CLUSTER_AWARE_GAN,1,20352,9.92356384802359,8.027592658996582,0.6216386556625366,0.11970667438218628
RandomForest,CLUSTER_AWARE_GAN,0,4480,13.927419806300717,12.032495498657227,0.1569814682006836,0.21347632591063292
RandomForest,CLUSTER_AWARE_GAN,1,20352,10.923178402645249,9.031330108642578,0.5415737628936768,0.13176489618942755
KNN,CLUSTER_AWARE_GAN,0,4480,14.406324671884839,11.899262428283691,0.09800904989242554,0.2208168708635016
KNN,CLUSTER_AWARE_GAN,1,20352,13.64843302804735,10.972382545471191,0.2842901945114136,0.164639292227755
HistGB,CLUSTER_AWARE_GAN,0,4480,12.63075110249133,10.902512550354004,0.3066474199295044,0.19360128267489274
HistGB,CLUSTER_AWARE_GAN,1,20352,10.658209746367286,8.930499076843262,0.5635445713996887,0.12856861336761966
Ridge,GLOBAL_AUG,0,4480,12.180965295383768,10.097599983215332,0.3551492691040039,0.1867070680333098
Ridge,GLOBAL_AUG,1,20352,9.532555062419855,7.737809181213379,0.6508677005767822,0.11498998569093928
RandomForest,GLOBAL_AUG,0,4480,13.315729600181744,11.659725189208984,0.22940587997436523,0.20410047743231524
RandomForest,GLOBAL_AUG,1,20352,11.049154906947175,9.065195083618164,0.5309388041496277,0.13328453455838712
KNN,GLOBAL_AUG,0,4480,14.376591602615637,11.841367721557617,0.10172843933105469,0.2203611291343147
KNN,GLOBAL_AUG,1,20352,13.27504163257802,10.586102485656738,0.3229150176048279,0.1601351198478434
HistGB,GLOBAL_AUG,0,4480,12.538321994294819,10.766657829284668,0.3167579174041748,0.19218455030813655
HistGB,GLOBAL_AUG,1,20352,10.682557865113763,8.925202369689941,0.5615481734275818,0.1288623215925316
Ridge,GLOBAL_GAN,0,4480,12.356984598168559,10.236943244934082,0.33637797832489014,0.1894050519075985
Ridge,GLOBAL_GAN,1,20352,9.51277947435116,7.759974479675293,0.6523147821426392,0.1147514353154986
RandomForest,GLOBAL_GAN,0,4480,14.132486975417722,12.26858139038086,0.1319735050201416,0.21661954887919657
RandomForest,GLOBAL_GAN,1,20352,10.972259568635073,9.149242401123047,0.5374448299407959,0.13235695598220168
KNN,GLOBAL_GAN,0,4480,14.428298990788143,11.915095329284668,0.09525531530380249,0.22115368823018597
KNN,GLOBAL_GAN,1,20352,13.61232286798637,10.94495964050293,0.2880723476409912,0.16420370001123802
HistGB,GLOBAL_GAN,0,4480,12.779016126988342,11.195938110351562,0.29027414321899414,0.19587385527849543
HistGB,GLOBAL_GAN,1,20352,10.781794172181598,9.020383834838867,0.5533642768859863,0.13005939640143968
Ridge,HYBRID_AUG,0,4480,12.553842170708947,10.420324325561523,0.3150653839111328,0.1924224400453924
Ridge,HYBRID_AUG,1,20352,9.9438107203962,8.032649040222168,0.6200932264328003,0.11995090979957099
RandomForest,HYBRID_AUG,0,4480,14.06647133593662,11.976447105407715,0.1400640606880188,0.215607676158688
RandomForest,HYBRID_AUG,1,20352,11.011983066511178,9.053645133972168,0.5340895652770996,0.13283613542805403
KNN,HYBRID_AUG,0,4480,14.498786612417671,12.004230499267578,0.08639365434646606,0.22223410647684808
KNN,HYBRID_AUG,1,20352,13.730559877009124,11.068284034729004,0.2756509780883789,0.16562997784405808
HistGB,HYBRID_AUG,0,4480,13.119105005208828,11.24001407623291,0.2519955039024353,0.2010866603217335
HistGB,HYBRID_AUG,1,20352,10.476433237574115,8.698451042175293,0.578305184841156,0.12637586672118492
