zestaw_cech,Model,Dataset,MSE,RMSE,MAE,R2,linf,dMSE_pct
pelny (108 cech),OLS,REAL_ONLY,38.689,6.22,4.734,0.8945,28.69,0.0
pelny (108 cech),WLS,REAL_ONLY,36.075,6.006,4.484,0.9016,31.17,0.0
bez EWMS (60 cech),OLS,REAL_ONLY,42.63,6.529,4.857,0.8837,32.22,0.0
bez EWMS (60 cech),WLS,REAL_ONLY,39.266,6.266,4.507,0.8929,35.52,0.0
pelny (108 cech),OLS,GLOBAL_AUG,35.838,5.986,4.511,0.9022,26.56,7.37
pelny (108 cech),WLS,GLOBAL_AUG,33.778,5.812,4.353,0.9079,28.99,6.37
bez EWMS (60 cech),OLS,GLOBAL_AUG,38.625,6.215,4.497,0.8946,29.54,9.39
bez EWMS (60 cech),WLS,GLOBAL_AUG,35.896,5.991,4.252,0.9021,30.27,8.58
pelny (108 cech),OLS,CLUSTER_AWARE_CLASSICAL,36.809,6.067,4.49,0.8996,27.59,4.86
pelny (108 cech),WLS,CLUSTER_AWARE_CLASSICAL,35.046,5.92,4.296,0.9044,30.18,2.85
bez EWMS (60 cech),OLS,CLUSTER_AWARE_CLASSICAL,42.163,6.493,4.754,0.885,29.98,1.1
bez EWMS (60 cech),WLS,CLUSTER_AWARE_CLASSICAL,39.7,6.301,4.544,0.8917,31.04,-1.11
pelny (108 cech),OLS,GLOBAL_GAN,40.548,6.368,4.589,0.8894,73.38,-4.8
pelny (108 cech),WLS,GLOBAL_GAN,39.244,6.265,4.455,0.893,80.51,-8.78
bez EWMS (60 cech),OLS,GLOBAL_GAN,44.933,6.703,4.754,0.8774,86.29,-5.4
bez EWMS (60 cech),WLS,GLOBAL_GAN,43.195,6.572,4.562,0.8822,93.34,-10.01
pelny (108 cech),OLS,CLUSTER_AWARE_GAN,42.863,6.547,4.928,0.8831,56.1,-10.79
pelny (108 cech),WLS,CLUSTER_AWARE_GAN,39.946,6.32,4.71,0.891,60.24,-10.73
bez EWMS (60 cech),OLS,CLUSTER_AWARE_GAN,40.635,6.375,4.756,0.8892,58.08,4.68
bez EWMS (60 cech),WLS,CLUSTER_AWARE_GAN,38.532,6.207,4.481,0.8949,63.26,1.87
pelny (108 cech),OLS,HYBRID_AUG,43.114,6.566,4.94,0.8824,54.52,-11.44
pelny (108 cech),WLS,HYBRID_AUG,40.701,6.38,4.742,0.889,60.49,-12.82
bez EWMS (60 cech),OLS,HYBRID_AUG,46.118,6.791,5.062,0.8742,61.75,-8.18
bez EWMS (60 cech),WLS,HYBRID_AUG,42.741,6.538,4.709,0.8834,67.67,-8.85
