Model,Dataset,MSE_poprzednia,MSE_obecna,roznica
OLS,REAL_ONLY,38.689,38.689,0.0
OLS,GLOBAL_AUG,35.838,35.838,0.0
OLS,CLUSTER_AWARE_CLASSICAL,34.102,36.809,2.71
OLS,GLOBAL_GAN,47.031,40.548,-6.48
OLS,CLUSTER_AWARE_GAN,48.144,42.863,-5.28
OLS,HYBRID_AUG,45.869,43.114,-2.76
WLS,REAL_ONLY,36.075,36.075,0.0
WLS,GLOBAL_AUG,33.778,33.778,0.0
WLS,CLUSTER_AWARE_CLASSICAL,32.439,35.046,2.61
WLS,GLOBAL_GAN,46.521,39.244,-7.28
WLS,CLUSTER_AWARE_GAN,46.795,39.946,-6.85
WLS,HYBRID_AUG,43.865,40.701,-3.16
HistGB,REAL_ONLY,40.415,40.415,0.0
HistGB,GLOBAL_AUG,41.408,41.408,0.0
HistGB,CLUSTER_AWARE_CLASSICAL,41.92,41.523,-0.4
HistGB,GLOBAL_GAN,37.139,40.164,3.02
HistGB,CLUSTER_AWARE_GAN,40.059,39.64,-0.42
HistGB,HYBRID_AUG,41.378,41.472,0.09
