wariant,cecha,span,stosunek_median,rozbieznosc_sd
GLOBAL_AUG,EWMS,60,10.177,0.136
GLOBAL_AUG,EWMS,120,3.856,0.129
GLOBAL_AUG,EWMS,360,0.722,0.1
GLOBAL_AUG,EWMS,3360,0.91,0.168
GLOBAL_AUG,EWMA,60,0.888,0.114
GLOBAL_AUG,EWMA,120,0.889,0.114
GLOBAL_AUG,EWMA,360,0.908,0.082
GLOBAL_AUG,EWMA,3360,0.958,0.046
CLUSTER_AWARE_CLASSICAL,EWMS,60,2.881,0.031
CLUSTER_AWARE_CLASSICAL,EWMS,120,1.103,0.019
CLUSTER_AWARE_CLASSICAL,EWMS,360,0.244,0.278
CLUSTER_AWARE_CLASSICAL,EWMS,3360,0.739,0.408
CLUSTER_AWARE_CLASSICAL,EWMA,60,0.712,0.192
CLUSTER_AWARE_CLASSICAL,EWMA,120,0.723,0.229
CLUSTER_AWARE_CLASSICAL,EWMA,360,0.751,0.283
CLUSTER_AWARE_CLASSICAL,EWMA,3360,0.818,0.281
GLOBAL_GAN,EWMS,60,5.495,0.077
GLOBAL_GAN,EWMS,120,3.267,0.131
GLOBAL_GAN,EWMS,360,1.768,0.255
GLOBAL_GAN,EWMS,3360,1.012,0.339
GLOBAL_GAN,EWMA,60,1.061,0.319
GLOBAL_GAN,EWMA,120,1.022,0.274
GLOBAL_GAN,EWMA,360,0.966,0.236
GLOBAL_GAN,EWMA,3360,0.862,0.181
CLUSTER_AWARE_GAN,EWMS,60,9.773,0.177
CLUSTER_AWARE_GAN,EWMS,120,4.142,0.148
CLUSTER_AWARE_GAN,EWMS,360,0.967,0.124
CLUSTER_AWARE_GAN,EWMS,3360,0.977,0.195
CLUSTER_AWARE_GAN,EWMA,60,0.837,0.362
CLUSTER_AWARE_GAN,EWMA,120,0.823,0.379
CLUSTER_AWARE_GAN,EWMA,360,0.804,0.377
CLUSTER_AWARE_GAN,EWMA,3360,0.944,0.213
HYBRID_AUG,EWMS,60,9.055,0.141
HYBRID_AUG,EWMS,120,3.24,0.128
HYBRID_AUG,EWMS,360,0.852,0.104
HYBRID_AUG,EWMS,3360,0.927,0.217
HYBRID_AUG,EWMA,60,0.842,0.347
HYBRID_AUG,EWMA,120,0.828,0.356
HYBRID_AUG,EWMA,360,0.851,0.296
HYBRID_AUG,EWMA,3360,0.978,0.151
