Model,Dataset,n_real_obs,n_syn_obs,synthetic_pct,MSE,RMSE,MAE,R2,linf,dMSE_pct,dRMSE_pct
OLS,REAL_ONLY,847928,0,0.0,38.689,6.22,4.734,0.8945,28.69,0.0,0.0
OLS,GLOBAL_AUG,847928,782603,92.3,35.838,5.986,4.511,0.9022,26.56,7.37,3.76
OLS,CLUSTER_AWARE_CLASSICAL,847928,391577,46.2,36.809,6.067,4.49,0.8996,27.59,4.86,2.46
OLS,GLOBAL_GAN,847928,194904,23.0,40.548,6.368,4.589,0.8894,73.38,-4.8,-2.38
OLS,CLUSTER_AWARE_GAN,847928,195477,23.1,42.863,6.547,4.928,0.8831,56.1,-10.79,-5.26
OLS,HYBRID_AUG,847928,195554,23.1,43.114,6.566,4.94,0.8824,54.52,-11.44,-5.56
WLS,REAL_ONLY,847928,0,0.0,36.075,6.006,4.484,0.9016,31.17,0.0,0.0
WLS,GLOBAL_AUG,847928,782603,92.3,33.778,5.812,4.353,0.9079,28.99,6.37,3.23
WLS,CLUSTER_AWARE_CLASSICAL,847928,391577,46.2,35.046,5.92,4.296,0.9044,30.18,2.85,1.43
WLS,GLOBAL_GAN,847928,194904,23.0,39.244,6.265,4.455,0.893,80.51,-8.78,-4.31
WLS,CLUSTER_AWARE_GAN,847928,195477,23.1,39.946,6.32,4.71,0.891,60.24,-10.73,-5.23
WLS,HYBRID_AUG,847928,195554,23.1,40.701,6.38,4.742,0.889,60.49,-12.82,-6.23
HistGB,REAL_ONLY,847928,0,0.0,40.415,6.357,4.745,0.8898,31.95,0.0,0.0
HistGB,GLOBAL_AUG,847928,782603,92.3,41.408,6.435,4.709,0.887,28.47,-2.46,-1.23
HistGB,CLUSTER_AWARE_CLASSICAL,847928,391577,46.2,41.523,6.444,4.846,0.8867,28.45,-2.74,-1.37
HistGB,GLOBAL_GAN,847928,194904,23.0,40.164,6.338,4.89,0.8904,35.44,0.62,0.3
HistGB,CLUSTER_AWARE_GAN,847928,195477,23.1,39.64,6.296,4.91,0.8919,24.09,1.92,0.96
HistGB,HYBRID_AUG,847928,195554,23.1,41.472,6.44,5.043,0.8869,26.27,-2.62,-1.31
