Model,Dataset,cluster_id,n_test,MSE,RMSE,MAE,R2,linf
OLS,REAL_ONLY,0,21020,28.055,5.297,3.462,0.8891,19.25
OLS,REAL_ONLY,1,245519,39.599,6.293,4.843,0.8934,28.69
WLS,REAL_ONLY,0,21020,30.668,5.538,3.569,0.8788,21.91
WLS,REAL_ONLY,1,245519,36.538,6.045,4.563,0.9016,31.17
HistGB,REAL_ONLY,0,21020,58.633,7.657,5.161,0.7682,31.95
HistGB,REAL_ONLY,1,245519,38.855,6.233,4.709,0.8954,30.41
OLS,GLOBAL_AUG,0,21020,27.019,5.198,3.476,0.8932,17.93
OLS,GLOBAL_AUG,1,245519,36.593,6.049,4.599,0.9015,26.56
WLS,GLOBAL_AUG,0,21020,29.283,5.411,3.609,0.8842,18.25
WLS,GLOBAL_AUG,1,245519,34.162,5.845,4.416,0.908,28.99
HistGB,GLOBAL_AUG,0,21020,48.446,6.96,4.823,0.8085,28.47
HistGB,GLOBAL_AUG,1,245519,40.806,6.388,4.7,0.8902,25.66
OLS,CLUSTER_AWARE_CLASSICAL,0,21020,30.714,5.542,3.659,0.8786,18.86
OLS,CLUSTER_AWARE_CLASSICAL,1,245519,37.331,6.11,4.562,0.8995,27.59
WLS,CLUSTER_AWARE_CLASSICAL,0,21020,33.297,5.77,3.786,0.8684,19.2
WLS,CLUSTER_AWARE_CLASSICAL,1,245519,35.196,5.933,4.34,0.9053,30.18
HistGB,CLUSTER_AWARE_CLASSICAL,0,21020,56.88,7.542,5.215,0.7751,28.45
HistGB,CLUSTER_AWARE_CLASSICAL,1,245519,40.208,6.341,4.814,0.8918,21.9
OLS,GLOBAL_GAN,0,21020,67.983,8.245,5.503,0.7313,73.38
OLS,GLOBAL_GAN,1,245519,38.199,6.181,4.51,0.8972,36.71
WLS,GLOBAL_GAN,0,21020,76.605,8.752,5.706,0.6972,80.51
WLS,GLOBAL_GAN,1,245519,36.045,6.004,4.347,0.903,38.61
HistGB,GLOBAL_GAN,0,21020,33.98,5.829,4.333,0.8657,35.44
HistGB,GLOBAL_GAN,1,245519,40.694,6.379,4.937,0.8905,23.44
OLS,CLUSTER_AWARE_GAN,0,21020,43.405,6.588,3.892,0.8284,56.1
OLS,CLUSTER_AWARE_GAN,1,245519,42.817,6.543,5.017,0.8847,28.61
WLS,CLUSTER_AWARE_GAN,0,21020,49.493,7.035,4.141,0.8043,60.24
WLS,CLUSTER_AWARE_GAN,1,245519,39.129,6.255,4.758,0.8947,30.34
HistGB,CLUSTER_AWARE_GAN,0,21020,44.363,6.661,5.191,0.8246,21.82
HistGB,CLUSTER_AWARE_GAN,1,245519,39.235,6.264,4.886,0.8944,24.09
OLS,HYBRID_AUG,0,21020,40.709,6.38,3.834,0.8391,54.52
OLS,HYBRID_AUG,1,245519,43.319,6.582,5.035,0.8834,28.81
WLS,HYBRID_AUG,0,21020,46.743,6.837,4.048,0.8152,60.49
WLS,HYBRID_AUG,1,245519,40.183,6.339,4.801,0.8918,30.82
HistGB,HYBRID_AUG,0,21020,41.097,6.411,4.589,0.8375,22.14
HistGB,HYBRID_AUG,1,245519,41.504,6.442,5.082,0.8883,26.27
