Model,Dataset,profile_id,n_test,MSE,RMSE,MAE,R2,linf
OLS,REAL_ONLY,2,19297,95.087,9.751,7.587,-0.6741,21.8
OLS,REAL_ONLY,6,40328,28.834,5.37,4.277,0.8512,19.55
OLS,REAL_ONLY,12,21882,39.373,6.275,5.72,-0.0026,11.42
OLS,REAL_ONLY,14,18538,33.193,5.761,4.767,0.6228,18.68
OLS,REAL_ONLY,20,43911,34.769,5.897,4.364,0.9044,15.82
OLS,REAL_ONLY,26,16606,31.381,5.602,3.29,0.942,28.69
OLS,REAL_ONLY,43,8383,46.567,6.824,4.86,0.5494,18.64
OLS,REAL_ONLY,45,17082,48.425,6.959,4.836,0.7619,21.42
OLS,REAL_ONLY,56,33063,44.31,6.657,5.338,0.6338,16.38
OLS,REAL_ONLY,59,7415,30.043,5.481,4.091,0.7431,16.55
OLS,REAL_ONLY,65,40034,22.085,4.7,3.821,0.9039,19.25
WLS,REAL_ONLY,2,19297,98.188,9.909,7.889,-0.7287,21.61
WLS,REAL_ONLY,6,40328,25.145,5.014,3.898,0.8702,21.43
WLS,REAL_ONLY,12,21882,30.536,5.526,5.086,0.2224,13.21
WLS,REAL_ONLY,14,18538,29.187,5.402,4.178,0.6683,20.34
WLS,REAL_ONLY,20,43911,31.2,5.586,4.056,0.9142,15.66
WLS,REAL_ONLY,26,16606,36.702,6.058,3.379,0.9322,31.17
WLS,REAL_ONLY,43,8383,47.332,6.88,4.873,0.542,19.07
WLS,REAL_ONLY,45,17082,52.253,7.229,4.929,0.7431,22.31
WLS,REAL_ONLY,56,33063,35.172,5.931,4.873,0.7093,15.05
WLS,REAL_ONLY,59,7415,28.914,5.377,3.956,0.7527,17.39
WLS,REAL_ONLY,65,40034,21.262,4.611,3.681,0.9075,21.91
HistGB,REAL_ONLY,2,19297,84.568,9.196,6.95,-0.4889,21.79
HistGB,REAL_ONLY,6,40328,32.417,5.694,4.823,0.8327,15.19
HistGB,REAL_ONLY,12,21882,3.478,1.865,1.358,0.9114,11.91
HistGB,REAL_ONLY,14,18538,56.729,7.532,5.64,0.3553,25.75
HistGB,REAL_ONLY,20,43911,31.721,5.632,4.718,0.9127,18.21
HistGB,REAL_ONLY,26,16606,15.939,3.992,2.574,0.9705,30.41
HistGB,REAL_ONLY,43,8383,89.88,9.481,6.479,0.1302,31.95
HistGB,REAL_ONLY,45,17082,64.318,8.02,6.245,0.6838,21.9
HistGB,REAL_ONLY,56,33063,62.54,7.908,6.852,0.4831,19.71
HistGB,REAL_ONLY,59,7415,64.129,8.008,6.513,0.4516,23.63
HistGB,REAL_ONLY,65,40034,16.288,4.036,2.899,0.9291,13.34
OLS,GLOBAL_AUG,2,19297,99.93,9.996,7.996,-0.7593,22.07
OLS,GLOBAL_AUG,6,40328,27.59,5.253,4.128,0.8576,19.52
OLS,GLOBAL_AUG,12,21882,26.347,5.133,4.561,0.3291,12.39
OLS,GLOBAL_AUG,14,18538,30.437,5.517,4.559,0.6541,18.46
OLS,GLOBAL_AUG,20,43911,31.878,5.646,4.165,0.9123,16.17
OLS,GLOBAL_AUG,26,16606,29.524,5.434,3.277,0.9454,26.56
OLS,GLOBAL_AUG,43,8383,37.104,6.091,4.021,0.6409,17.93
OLS,GLOBAL_AUG,45,17082,40.176,6.338,4.442,0.8025,20.23
OLS,GLOBAL_AUG,56,33063,44.54,6.674,5.393,0.6319,16.55
OLS,GLOBAL_AUG,59,7415,23.938,4.893,3.626,0.7953,17.71
OLS,GLOBAL_AUG,65,40034,20.805,4.561,3.625,0.9095,14.86
WLS,GLOBAL_AUG,2,19297,97.228,9.86,8.033,-0.7118,21.38
WLS,GLOBAL_AUG,6,40328,25.802,5.08,4.028,0.8668,21.08
WLS,GLOBAL_AUG,12,21882,21.864,4.676,4.106,0.4432,14.1
WLS,GLOBAL_AUG,14,18538,27.136,5.209,4.108,0.6916,20.08
WLS,GLOBAL_AUG,20,43911,29.612,5.442,3.978,0.9185,15.94
WLS,GLOBAL_AUG,26,16606,33.201,5.762,3.242,0.9387,28.99
WLS,GLOBAL_AUG,43,8383,37.979,6.163,4.052,0.6325,18.17
WLS,GLOBAL_AUG,45,17082,43.992,6.633,4.697,0.7837,21.02
WLS,GLOBAL_AUG,56,33063,36.322,6.027,5.014,0.6998,15.46
WLS,GLOBAL_AUG,59,7415,23.176,4.814,3.519,0.8018,18.25
WLS,GLOBAL_AUG,65,40034,20.248,4.5,3.549,0.9119,16.26
HistGB,GLOBAL_AUG,2,19297,46.879,6.847,5.307,0.1747,16.95
HistGB,GLOBAL_AUG,6,40328,82.446,9.08,6.854,0.5744,23.99
HistGB,GLOBAL_AUG,12,21882,3.916,1.979,1.687,0.9003,7.99
HistGB,GLOBAL_AUG,14,18538,54.845,7.406,5.97,0.3767,25.66
HistGB,GLOBAL_AUG,20,43911,25.507,5.05,3.903,0.9298,17.24
HistGB,GLOBAL_AUG,26,16606,9.697,3.114,2.416,0.9821,11.64
HistGB,GLOBAL_AUG,43,8383,78.861,8.88,6.43,0.2369,28.47
HistGB,GLOBAL_AUG,45,17082,60.151,7.756,6.397,0.7042,20.48
HistGB,GLOBAL_AUG,56,33063,53.97,7.346,6.069,0.554,18.66
HistGB,GLOBAL_AUG,59,7415,47.297,6.877,5.683,0.5955,24.68
HistGB,GLOBAL_AUG,65,40034,14.993,3.872,2.781,0.9348,14.22
OLS,CLUSTER_AWARE_CLASSICAL,2,19297,117.16,10.824,8.738,-1.0627,23.34
OLS,CLUSTER_AWARE_CLASSICAL,6,40328,26.657,5.163,4.141,0.8624,20.33
OLS,CLUSTER_AWARE_CLASSICAL,12,21882,20.996,4.582,4.188,0.4653,13.95
OLS,CLUSTER_AWARE_CLASSICAL,14,18538,26.849,5.182,4.103,0.6949,18.19
OLS,CLUSTER_AWARE_CLASSICAL,20,43911,30.662,5.537,3.944,0.9157,14.93
OLS,CLUSTER_AWARE_CLASSICAL,26,16606,32.299,5.683,3.542,0.9403,27.59
OLS,CLUSTER_AWARE_CLASSICAL,43,8383,48.787,6.985,4.777,0.5279,18.86
OLS,CLUSTER_AWARE_CLASSICAL,45,17082,41.762,6.462,4.382,0.7947,20.84
OLS,CLUSTER_AWARE_CLASSICAL,56,33063,46.224,6.799,5.409,0.618,17.6
OLS,CLUSTER_AWARE_CLASSICAL,59,7415,30.665,5.538,4.004,0.7378,17.61
OLS,CLUSTER_AWARE_CLASSICAL,65,40034,18.915,4.349,3.449,0.9177,15.38
WLS,CLUSTER_AWARE_CLASSICAL,2,19297,120.863,10.994,9.037,-1.1279,23.23
WLS,CLUSTER_AWARE_CLASSICAL,6,40328,23.285,4.825,3.758,0.8798,22.1
WLS,CLUSTER_AWARE_CLASSICAL,12,21882,18.714,4.326,3.792,0.5235,15.62
WLS,CLUSTER_AWARE_CLASSICAL,14,18538,24.27,4.926,3.647,0.7242,19.96
WLS,CLUSTER_AWARE_CLASSICAL,20,43911,28.584,5.346,3.768,0.9214,15.97
WLS,CLUSTER_AWARE_CLASSICAL,26,16606,36.574,6.048,3.523,0.9324,30.18
WLS,CLUSTER_AWARE_CLASSICAL,43,8383,49.514,7.037,4.824,0.5209,19.2
WLS,CLUSTER_AWARE_CLASSICAL,45,17082,46.23,6.799,4.574,0.7727,21.8
WLS,CLUSTER_AWARE_CLASSICAL,56,33063,35.785,5.982,4.894,0.7043,15.4
WLS,CLUSTER_AWARE_CLASSICAL,59,7415,29.556,5.437,3.849,0.7472,18.4
WLS,CLUSTER_AWARE_CLASSICAL,65,40034,18.508,4.302,3.389,0.9195,17.7
HistGB,CLUSTER_AWARE_CLASSICAL,2,19297,65.555,8.097,6.19,-0.1541,16.97
HistGB,CLUSTER_AWARE_CLASSICAL,6,40328,49.21,7.015,5.797,0.746,16.05
HistGB,CLUSTER_AWARE_CLASSICAL,12,21882,3.173,1.781,1.155,0.9192,9.41
HistGB,CLUSTER_AWARE_CLASSICAL,14,18538,57.147,7.56,5.91,0.3506,20.72
HistGB,CLUSTER_AWARE_CLASSICAL,20,43911,29.347,5.417,4.496,0.9193,15.81
HistGB,CLUSTER_AWARE_CLASSICAL,26,16606,11.401,3.377,2.651,0.9789,8.54
HistGB,CLUSTER_AWARE_CLASSICAL,43,8383,89.155,9.442,6.8,0.1372,28.45
HistGB,CLUSTER_AWARE_CLASSICAL,45,17082,66.153,8.133,6.242,0.6747,21.9
HistGB,CLUSTER_AWARE_CLASSICAL,56,33063,68.765,8.292,7.123,0.4317,21.76
HistGB,CLUSTER_AWARE_CLASSICAL,59,7415,50.514,7.107,5.834,0.568,24.1
HistGB,CLUSTER_AWARE_CLASSICAL,65,40034,17.124,4.138,2.99,0.9255,14.93
OLS,GLOBAL_GAN,2,19297,41.15,6.415,4.822,0.2755,17.18
OLS,GLOBAL_GAN,6,40328,26.732,5.17,3.736,0.862,28.44
OLS,GLOBAL_GAN,12,21882,73.077,8.549,6.684,-0.8609,15.54
OLS,GLOBAL_GAN,14,18538,24.793,4.979,3.967,0.7182,19.72
OLS,GLOBAL_GAN,20,43911,42.964,6.555,5.023,0.8818,20.25
OLS,GLOBAL_GAN,26,16606,59.686,7.726,4.79,0.8897,36.71
OLS,GLOBAL_GAN,43,8383,48.333,6.952,4.459,0.5323,19.75
OLS,GLOBAL_GAN,45,17082,38.533,6.207,4.539,0.8105,19.93
OLS,GLOBAL_GAN,56,33063,34.514,5.875,4.465,0.7148,25.7
OLS,GLOBAL_GAN,59,7415,59.425,7.709,5.809,0.4918,20.13
OLS,GLOBAL_GAN,65,40034,33.819,5.815,3.842,0.8528,73.38
WLS,GLOBAL_GAN,2,19297,48.554,6.968,5.25,0.1452,18.05
WLS,GLOBAL_GAN,6,40328,23.905,4.889,3.438,0.8766,29.99
WLS,GLOBAL_GAN,12,21882,61.734,7.857,6.116,-0.5721,14.02
WLS,GLOBAL_GAN,14,18538,24.295,4.929,3.807,0.7239,20.77
WLS,GLOBAL_GAN,20,43911,40.465,6.361,4.966,0.8887,17.77
WLS,GLOBAL_GAN,26,16606,64.286,8.018,4.801,0.8812,38.61
WLS,GLOBAL_GAN,43,8383,51.114,7.149,4.512,0.5054,20.63
WLS,GLOBAL_GAN,45,17082,37.511,6.125,4.222,0.8156,19.93
WLS,GLOBAL_GAN,56,33063,27.535,5.247,4.078,0.7724,23.02
WLS,GLOBAL_GAN,59,7415,59.501,7.714,5.799,0.4911,20.8
WLS,GLOBAL_GAN,65,40034,37.283,6.106,3.932,0.8378,80.51
HistGB,GLOBAL_GAN,2,19297,49.393,7.028,5.462,0.1304,16.33
HistGB,GLOBAL_GAN,6,40328,61.955,7.871,6.343,0.6802,20.88
HistGB,GLOBAL_GAN,12,21882,17.368,4.168,3.118,0.5577,9.32
HistGB,GLOBAL_GAN,14,18538,51.792,7.197,5.417,0.4114,21.42
HistGB,GLOBAL_GAN,20,43911,41.574,6.448,5.012,0.8856,22.92
HistGB,GLOBAL_GAN,26,16606,9.329,3.054,1.975,0.9828,19.22
HistGB,GLOBAL_GAN,43,8383,30.425,5.516,4.293,0.7056,17.41
HistGB,GLOBAL_GAN,45,17082,53.279,7.299,5.69,0.738,23.44
HistGB,GLOBAL_GAN,56,33063,42.03,6.483,5.783,0.6527,17.45
HistGB,GLOBAL_GAN,59,7415,72.972,8.542,7.287,0.3759,35.44
HistGB,GLOBAL_GAN,65,40034,20.912,4.573,3.549,0.909,16.12
OLS,CLUSTER_AWARE_GAN,2,19297,105.949,10.293,7.896,-0.8653,22.36
OLS,CLUSTER_AWARE_GAN,6,40328,31.532,5.615,4.428,0.8372,22.32
OLS,CLUSTER_AWARE_GAN,12,21882,56.826,7.538,6.076,-0.4471,14.0
OLS,CLUSTER_AWARE_GAN,14,18538,45.865,6.772,6.26,0.4788,18.07
OLS,CLUSTER_AWARE_GAN,20,43911,45.231,6.725,5.23,0.8756,16.29
OLS,CLUSTER_AWARE_GAN,26,16606,43.263,6.577,4.692,0.9201,28.61
OLS,CLUSTER_AWARE_GAN,43,8383,53.613,7.322,5.026,0.4812,19.35
OLS,CLUSTER_AWARE_GAN,45,17082,36.689,6.057,4.186,0.8196,20.77
OLS,CLUSTER_AWARE_GAN,56,33063,28.042,5.295,4.061,0.7683,17.64
OLS,CLUSTER_AWARE_GAN,59,7415,33.239,5.765,4.076,0.7157,17.47
OLS,CLUSTER_AWARE_GAN,65,40034,26.492,5.147,3.692,0.8847,56.1
WLS,CLUSTER_AWARE_GAN,2,19297,108.922,10.437,8.208,-0.9176,22.16
WLS,CLUSTER_AWARE_GAN,6,40328,26.614,5.159,4.024,0.8626,24.22
WLS,CLUSTER_AWARE_GAN,12,21882,42.766,6.54,5.314,-0.089,12.31
WLS,CLUSTER_AWARE_GAN,14,18538,40.782,6.386,5.854,0.5365,19.47
WLS,CLUSTER_AWARE_GAN,20,43911,42.455,6.516,5.105,0.8832,17.1
