Model,Dataset,dRMSE_K,CI_low,CI_high,profile_z_poprawa,n_profili,istotny
OLS,GLOBAL_AUG,-0.34,-0.5669,-0.1269,9,11,True
OLS,CLUSTER_AWARE_CLASSICAL,-0.1974,-0.5847,0.1754,6,11,False
OLS,GLOBAL_GAN,0.2433,-0.7699,1.1431,5,11,False
OLS,CLUSTER_AWARE_GAN,0.3485,-0.1429,0.7614,2,11,False
OLS,HYBRID_AUG,0.3448,-0.2066,0.8364,2,11,False
WLS,GLOBAL_AUG,-0.3053,-0.4903,-0.1264,9,11,True
WLS,CLUSTER_AWARE_CLASSICAL,-0.1364,-0.443,0.1822,7,11,False
WLS,GLOBAL_GAN,0.3491,-0.6305,1.2346,5,11,False
WLS,CLUSTER_AWARE_GAN,0.3234,-0.1855,0.7336,2,11,False
WLS,HYBRID_AUG,0.3488,-0.2378,0.8666,2,11,False
HistGB,GLOBAL_AUG,-0.2869,-0.9586,0.6207,9,11,False
HistGB,CLUSTER_AWARE_CLASSICAL,-0.0913,-0.446,0.3019,6,11,False
HistGB,GLOBAL_GAN,-0.2895,-1.3589,0.7325,6,11,False
HistGB,CLUSTER_AWARE_GAN,-0.2052,-1.1008,0.7103,6,11,False
HistGB,HYBRID_AUG,0.1598,-0.8073,1.1769,4,11,False
