spany,MSE_val,MSE_train,MSE_test
"(60, 120, 360, 3360)",40.4416240720132,20.103549903506874,38.68860079579075
"(60, 120, 1320, 3360)",42.816919638544555,18.71020224608024,38.10588718281782
"(60, 360, 1320, 3360)",43.827134761220734,18.48941884293184,38.70600315318624
"(6360, 9480, 14400, 21600)",44.01959088298584,14.230979893288552,88.42517438087083
"(120, 360, 1320, 3360)",44.10869464896839,18.397349539573167,38.84209827168679
"(60, 120, 360, 6360)",44.77259227579393,19.514682763689013,40.65170932917228
"(3360, 9480, 14400, 21600)",44.965654241522415,13.936262047708295,76.4396926552137
"(60, 120, 360, 1320)",46.47412242694543,28.73622888008183,44.14888137947475
"(3360, 6360, 14400, 21600)",47.095798092284035,13.934720086184914,74.3786522038706
"(60, 120, 1320, 6360)",47.582392684012646,17.378983215777627,37.55472492490264
"(60, 360, 1320, 6360)",48.561535999529774,17.076599533281932,38.08418929791687
"(120, 360, 1320, 6360)",48.94333162986631,17.003928428555913,38.246007187645326
"(60, 120, 360, 9480)",49.63263328330928,20.51444510883734,43.47457794917464
"(3360, 6360, 9480, 21600)",50.00632944327948,13.993153677118759,74.05047565951163
"(60, 120, 1320, 9480)",51.392812347104154,17.184931467045317,38.00605331306836
"(60, 360, 1320, 9480)",52.10260592431819,16.75530096963251,38.31849856433789
"(120, 360, 1320, 9480)",52.469582949637136,16.676506034158166,38.478823026780454
"(3360, 6360, 9480, 14400)",53.35328273937192,14.087554905852116,73.53542020837475
"(60, 120, 360, 14400)",54.189325853421416,21.885363080872576,47.43111135271497
"(1320, 3360, 14400, 21600)",54.24951951306151,14.181557511577232,68.82905881605933
"(60, 120, 1320, 14400)",54.61069430959857,17.250199842392945,40.03769348171914
"(60, 360, 1320, 14400)",54.99315191426003,16.68841117534034,40.05747557558805
"(1320, 3360, 9480, 21600)",55.275070817192855,14.357507165544686,66.04607052279651
"(120, 360, 1320, 14400)",55.295903008393644,16.599907431068264,40.219536230810185
"(1320, 6360, 14400, 21600)",55.38300755915078,13.982817053939387,72.26256560094892
"(360, 1320, 14400, 21600)",55.5541791859662,14.417868742520167,72.42650206207746
"(1320, 6360, 9480, 21600)",55.74237317165278,14.128357902081078,70.16724268826457
"(1320, 3360, 6360, 21600)",56.15328413889501,14.525321750247963,63.486825263410005
"(1320, 9480, 14400, 21600)",56.194928162511125,13.885952851567183,74.24771802765356
"(60, 120, 1320, 21600)",56.199150511762205,17.41405943231301,43.905454037564176
"(120, 1320, 14400, 21600)",56.26947046698205,14.605792392087611,74.80949962065378
"(60, 360, 1320, 21600)",56.29199791058851,16.746664290973488,43.57163853388407
"(120, 360, 1320, 21600)",56.516243236404065,16.649579622059868,43.72153117958699
"(360, 1320, 3360, 6360)",56.556721731880856,15.782745239492634,44.85786613897915
"(60, 1320, 14400, 21600)",56.559745832459576,14.776072699892556,75.78835194131774
"(60, 120, 3360, 6360)",56.62460481788911,16.726663083187,41.79861667899109
"(120, 1320, 3360, 6360)",56.88695761704318,15.871981647038776,45.17699501178363
"(60, 360, 3360, 6360)",56.89352712111311,16.40002741844342,42.70150521941233
"(120, 360, 3360, 6360)",56.92930869644409,16.289111820342473,42.85064120201765
"(360, 3360, 14400, 21600)",57.06835673805292,14.530010348701207,76.4066434750031
"(60, 1320, 3360, 6360)",57.07763209383695,15.997722401346305,45.235945456296484
"(60, 120, 360, 21600)",57.11309990687428,23.14434515838078,52.64867569473637
"(1320, 3360, 9480, 14400)",57.13335950639279,14.529985744656727,62.9720583110326
"(360, 3360, 9480, 21600)",57.19674110103071,14.699463301518078,70.66059779064089
"(1320, 6360, 9480, 14400)",57.230955796880046,14.282524464480547,67.42645229819065
"(360, 3360, 6360, 21600)",57.33639961888563,14.83804264833441,66.03887184117977
"(120, 3360, 14400, 21600)",57.53527089709017,14.741220943495268,80.50810553031722
"(360, 1320, 9480, 21600)",57.577351290872976,14.580583473276437,67.5092113591266
"(120, 3360, 9480, 21600)",57.60400978136323,14.887996024561378,73.48887911651397
"(60, 3360, 14400, 21600)",57.680285805838174,14.890645850187356,82.09544843275418
"(120, 3360, 6360, 21600)",57.70087836359065,14.991169735170004,67.97474730949239
"(60, 3360, 9480, 21600)",57.746923666469115,15.028957167931857,74.62578048026826
"(60, 3360, 6360, 21600)",57.83477309214959,15.11814828435294,68.78944281295828
"(1320, 3360, 6360, 14400)",58.29222055558984,14.700520785512666,60.50996997050595
"(360, 3360, 9480, 14400)",58.45046619693583,14.868085303867113,66.12055808368736
"(120, 1320, 9480, 21600)",58.70213130934868,14.722695651099572,69.67274704717775
"(120, 3360, 9480, 14400)",58.839802977874854,15.046147176413783,68.39119038426867
"(360, 1320, 6360, 21600)",58.90064657889826,14.730636336811736,62.51813259632258
"(360, 3360, 6360, 14400)",58.972554362856826,15.00308246991509,62.24964851737941
"(360, 1320, 3360, 9480)",58.991815507962755,15.443063308275208,47.44433305713622
"(60, 3360, 9480, 14400)",58.995221791973904,15.18488364979138,69.30408654459063
"(360, 1320, 3360, 21600)",59.05129259694342,15.047406455123783,54.43687247524579
"(60, 1320, 9480, 21600)",59.112806545734166,14.873499748390572,70.55176831992189
