profil,obserwacje,godziny,MSE,RMSE,MAE,R2,linf
65,40034,5.6,22.085,4.7,3.821,0.9039,19.25
6,40328,5.6,28.834,5.37,4.277,0.8512,19.55
59,7415,1.0,30.043,5.481,4.091,0.7431,16.55
26,16606,2.3,31.381,5.602,3.29,0.942,28.69
14,18538,2.6,33.193,5.761,4.767,0.6228,18.68
20,43911,6.1,34.769,5.897,4.364,0.9044,15.82
12,21882,3.0,39.373,6.275,5.72,-0.0026,11.42
56,33063,4.6,44.31,6.657,5.338,0.6338,16.38
43,8383,1.2,46.567,6.824,4.86,0.5494,18.64
45,17082,2.4,48.425,6.959,4.836,0.7619,21.42
2,19297,2.7,95.087,9.751,7.587,-0.6741,21.8
