Model,Dataset,n_real_obs,n_syn_obs,synthetic_pct,MSE,RMSE,MAE,R2,linf,dMSE_pct,dRMSE_pct
OLS,REAL_ONLY,847928,0,0.0,38.689,6.22,4.734,0.8945,28.69,0.0,0.0
OLS,GLOBAL_AUG,847928,782603,92.3,35.838,5.986,4.511,0.9022,26.56,7.37,3.76
OLS,CLUSTER_AWARE_CLASSICAL,847928,783164,92.4,34.102,5.84,4.326,0.907,28.03,11.86,6.11
OLS,GLOBAL_GAN,847928,782452,92.3,47.031,6.858,5.061,0.8717,78.16,-21.56,-10.26
OLS,CLUSTER_AWARE_GAN,847928,781598,92.2,48.144,6.939,5.297,0.8687,60.96,-24.44,-11.56
OLS,HYBRID_AUG,847928,783193,92.4,45.869,6.773,5.011,0.8749,68.38,-18.56,-8.89
WLS,REAL_ONLY,847928,0,0.0,36.075,6.006,4.484,0.9016,31.17,0.0,0.0
WLS,GLOBAL_AUG,847928,782603,92.3,33.778,5.812,4.353,0.9079,28.99,6.37,3.23
WLS,CLUSTER_AWARE_CLASSICAL,847928,783164,92.4,32.439,5.696,4.136,0.9115,30.33,10.08,5.16
WLS,GLOBAL_GAN,847928,782452,92.3,46.521,6.821,4.977,0.8731,85.79,-28.96,-13.57
WLS,CLUSTER_AWARE_GAN,847928,781598,92.2,46.795,6.841,5.186,0.8724,62.1,-29.72,-13.9
WLS,HYBRID_AUG,847928,783193,92.4,43.865,6.623,4.848,0.8803,72.88,-21.59,-10.27
HistGB,REAL_ONLY,847928,0,0.0,40.415,6.357,4.745,0.8898,31.95,0.0,0.0
HistGB,GLOBAL_AUG,847928,782603,92.3,41.408,6.435,4.709,0.887,28.47,-2.46,-1.23
HistGB,CLUSTER_AWARE_CLASSICAL,847928,783164,92.4,41.92,6.475,4.943,0.8857,26.63,-3.72,-1.86
HistGB,GLOBAL_GAN,847928,782452,92.3,37.139,6.094,4.751,0.8987,26.22,8.11,4.14
HistGB,CLUSTER_AWARE_GAN,847928,781598,92.2,40.059,6.329,5.023,0.8907,25.83,0.88,0.44
HistGB,HYBRID_AUG,847928,783193,92.4,41.378,6.433,4.939,0.8871,24.23,-2.38,-1.2
