Model,Dataset,cluster_id,n_test,MSE,RMSE,MAE,R2,linf
OLS,REAL_ONLY,0,21020,28.055,5.297,3.462,0.8891,19.25
OLS,REAL_ONLY,1,245519,39.599,6.293,4.843,0.8934,28.69
WLS,REAL_ONLY,0,21020,30.668,5.538,3.569,0.8788,21.91
WLS,REAL_ONLY,1,245519,36.538,6.045,4.563,0.9016,31.17
HistGB,REAL_ONLY,0,21020,58.633,7.657,5.161,0.7682,31.95
HistGB,REAL_ONLY,1,245519,38.855,6.233,4.709,0.8954,30.41
OLS,GLOBAL_AUG,0,21020,27.019,5.198,3.476,0.8932,17.93
OLS,GLOBAL_AUG,1,245519,36.593,6.049,4.599,0.9015,26.56
WLS,GLOBAL_AUG,0,21020,29.283,5.411,3.609,0.8842,18.25
WLS,GLOBAL_AUG,1,245519,34.162,5.845,4.416,0.908,28.99
HistGB,GLOBAL_AUG,0,21020,48.446,6.96,4.823,0.8085,28.47
HistGB,GLOBAL_AUG,1,245519,40.806,6.388,4.7,0.8902,25.66
OLS,CLUSTER_AWARE_CLASSICAL,0,21020,31.272,5.592,3.737,0.8764,18.8
OLS,CLUSTER_AWARE_CLASSICAL,1,245519,34.345,5.86,4.376,0.9075,28.03
WLS,CLUSTER_AWARE_CLASSICAL,0,21020,33.702,5.805,3.834,0.8668,19.6
WLS,CLUSTER_AWARE_CLASSICAL,1,245519,32.331,5.686,4.162,0.913,30.33
HistGB,CLUSTER_AWARE_CLASSICAL,0,21020,53.927,7.343,5.301,0.7868,26.63
HistGB,CLUSTER_AWARE_CLASSICAL,1,245519,40.892,6.395,4.912,0.8899,23.16
OLS,GLOBAL_GAN,0,21020,89.028,9.435,6.915,0.6481,78.16
OLS,GLOBAL_GAN,1,245519,43.435,6.591,4.902,0.8831,35.57
WLS,GLOBAL_GAN,0,21020,96.344,9.815,6.969,0.6191,85.79
WLS,GLOBAL_GAN,1,245519,42.255,6.5,4.806,0.8863,37.05
HistGB,GLOBAL_GAN,0,21020,30.769,5.547,4.044,0.8784,24.67
HistGB,GLOBAL_GAN,1,245519,37.685,6.139,4.812,0.8986,26.22
OLS,CLUSTER_AWARE_GAN,0,21020,62.623,7.913,5.441,0.7524,60.96
OLS,CLUSTER_AWARE_GAN,1,245519,46.904,6.849,5.285,0.8737,30.11
WLS,CLUSTER_AWARE_GAN,0,21020,68.078,8.251,5.566,0.7309,62.1
WLS,CLUSTER_AWARE_GAN,1,245519,44.973,6.706,5.154,0.8789,28.92
HistGB,CLUSTER_AWARE_GAN,0,21020,49.552,7.039,5.674,0.8041,21.64
HistGB,CLUSTER_AWARE_GAN,1,245519,39.246,6.265,4.967,0.8944,25.83
OLS,HYBRID_AUG,0,21020,53.927,7.344,4.389,0.7868,68.38
OLS,HYBRID_AUG,1,245519,45.179,6.722,5.064,0.8784,28.15
WLS,HYBRID_AUG,0,21020,60.84,7.8,4.611,0.7595,72.88
WLS,HYBRID_AUG,1,245519,42.412,6.512,4.868,0.8858,29.38
HistGB,HYBRID_AUG,0,21020,42.736,6.537,4.789,0.8311,24.23
HistGB,HYBRID_AUG,1,245519,41.262,6.424,4.951,0.8889,23.4
