spany,MSE_val,MSE_test,MSE_train
"(60, 120, 360, 3360)",40.4416240720132,38.68860079579075,20.103549903506874
"(60, 120, 1320, 3360)",42.816919638544555,38.10588718281782,18.71020224608024
"(60, 360, 1320, 3360)",43.827134761220734,38.70600315318624,18.48941884293184
"(6360, 9480, 14400, 21600)",44.01959088298584,88.42517438087083,14.230979893288552
"(120, 360, 1320, 3360)",44.10869464896839,38.84209827168679,18.397349539573167
"(60, 120, 360, 6360)",44.77259227579393,40.65170932917228,19.514682763689013
"(3360, 9480, 14400, 21600)",44.965654241522415,76.4396926552137,13.936262047708295
"(60, 120, 360, 1320)",46.47412242694543,44.14888137947475,28.73622888008183
"(3360, 6360, 14400, 21600)",47.095798092284035,74.3786522038706,13.934720086184914
"(60, 120, 1320, 6360)",47.582392684012646,37.55472492490264,17.378983215777627
"(60, 360, 1320, 6360)",48.561535999529774,38.08418929791687,17.076599533281932
"(120, 360, 1320, 6360)",48.94333162986631,38.246007187645326,17.003928428555913
"(60, 120, 360, 9480)",49.63263328330928,43.47457794917464,20.51444510883734
"(3360, 6360, 9480, 21600)",50.00632944327948,74.05047565951163,13.993153677118759
"(60, 120, 1320, 9480)",51.392812347104154,38.00605331306836,17.184931467045317
"(60, 360, 1320, 9480)",52.10260592431819,38.31849856433789,16.75530096963251
"(120, 360, 1320, 9480)",52.469582949637136,38.478823026780454,16.676506034158166
"(3360, 6360, 9480, 14400)",53.35328273937192,73.53542020837475,14.087554905852116
"(60, 120, 360, 14400)",54.189325853421416,47.43111135271497,21.885363080872576
"(1320, 3360, 14400, 21600)",54.24951951306151,68.82905881605933,14.181557511577232
"(60, 120, 1320, 14400)",54.61069430959857,40.03769348171914,17.250199842392945
"(60, 360, 1320, 14400)",54.99315191426003,40.05747557558805,16.68841117534034
"(1320, 3360, 9480, 21600)",55.275070817192855,66.04607052279651,14.357507165544686
"(120, 360, 1320, 14400)",55.295903008393644,40.219536230810185,16.599907431068264
"(1320, 6360, 14400, 21600)",55.38300755915078,72.26256560094892,13.982817053939387
"(360, 1320, 14400, 21600)",55.5541791859662,72.42650206207746,14.417868742520167
"(1320, 6360, 9480, 21600)",55.74237317165278,70.16724268826457,14.128357902081078
"(1320, 3360, 6360, 21600)",56.15328413889501,63.486825263410005,14.525321750247963
"(1320, 9480, 14400, 21600)",56.194928162511125,74.24771802765356,13.885952851567183
"(60, 120, 1320, 21600)",56.199150511762205,43.905454037564176,17.41405943231301
"(120, 1320, 14400, 21600)",56.26947046698205,74.80949962065378,14.605792392087611
"(60, 360, 1320, 21600)",56.29199791058851,43.57163853388407,16.746664290973488
"(120, 360, 1320, 21600)",56.516243236404065,43.72153117958699,16.649579622059868
"(360, 1320, 3360, 6360)",56.556721731880856,44.85786613897915,15.782745239492634
"(60, 1320, 14400, 21600)",56.559745832459576,75.78835194131774,14.776072699892556
"(60, 120, 3360, 6360)",56.62460481788911,41.79861667899109,16.726663083187
"(120, 1320, 3360, 6360)",56.88695761704318,45.17699501178363,15.871981647038776
"(60, 360, 3360, 6360)",56.89352712111311,42.70150521941233,16.40002741844342
"(120, 360, 3360, 6360)",56.92930869644409,42.85064120201765,16.289111820342473
"(360, 3360, 14400, 21600)",57.06835673805292,76.4066434750031,14.530010348701207
"(60, 1320, 3360, 6360)",57.07763209383695,45.235945456296484,15.997722401346305
"(60, 120, 360, 21600)",57.11309990687428,52.64867569473637,23.14434515838078
"(1320, 3360, 9480, 14400)",57.13335950639279,62.9720583110326,14.529985744656727
"(360, 3360, 9480, 21600)",57.19674110103071,70.66059779064089,14.699463301518078
