profile_id,segment_id,start_sample,end_sample,row,split,in_train
2,2_0,0,7420,0,test,False
2,2_1,7420,19357,1,test,False
3,3_2,0,9650,2,val,False
3,3_3,9650,19248,3,val,False
4,4_4,0,3350,4,train,True
4,4_5,3350,5510,5,train,True
4,4_6,5510,6600,6,train,True
4,4_7,6600,16640,7,train,True
4,4_8,16640,21860,8,train,True
4,4_9,21860,23430,9,train,True
4,4_10,23430,26340,10,train,True
4,4_11,26340,33424,11,train,True
5,5_12,0,6240,12,train,True
5,5_13,6240,14788,13,train,True
6,6_14,0,22100,14,test,False
6,6_15,22100,25950,15,test,False
6,6_16,25950,31530,16,test,False
6,6_17,31530,33020,17,test,False
6,6_18,33020,33580,18,test,False
6,6_19,33580,34210,19,test,False
6,6_20,34210,35050,20,test,False
6,6_21,35050,36380,21,test,False
6,6_22,36380,37250,22,test,False
6,6_23,37250,40388,23,test,False
7,7_24,0,12050,24,train,True
7,7_25,12050,14651,25,train,True
8,8_26,0,9760,26,train,True
8,8_27,9760,18757,27,train,True
9,9_28,0,11360,28,val,False
9,9_29,11360,20336,29,val,False
10,10_30,0,300,30,train,True
10,10_31,300,570,31,train,True
10,10_32,570,1470,32,train,True
10,10_33,1470,2240,33,train,True
10,10_34,2240,2790,34,train,True
10,10_35,2790,3070,35,train,True
10,10_36,3070,4780,36,train,True
10,10_37,4780,5230,37,train,True
10,10_38,5230,5570,38,train,True
10,10_39,5570,6010,39,train,True
10,10_40,6010,6590,40,train,True
10,10_41,6590,15256,41,train,True
11,11_42,0,400,42,train,True
11,11_43,400,7490,43,train,True
11,11_44,7490,7887,44,train,True
12,12_45,0,12760,45,test,False
12,12_46,12760,21942,46,test,False
13,13_47,0,19220,47,train,True
13,13_48,19220,35906,48,train,True
14,14_49,0,11200,49,test,False
14,14_50,11200,18598,50,test,False
15,15_51,0,10110,51,train,True
15,15_52,10110,18124,52,train,True
16,16_53,0,13860,53,train,True
16,16_54,13860,20645,54,train,True
17,17_55,0,8550,55,train,True
17,17_56,8550,15964,56,train,True
18,18_57,0,24380,57,val,False
18,18_58,24380,37732,58,val,False
19,19_59,0,8440,59,val,False
19,19_60,8440,10410,60,val,False
20,20_61,0,2130,61,test,False
20,20_62,2130,3590,62,test,False
20,20_63,3590,4570,63,test,False
20,20_64,4570,7340,64,test,False
20,20_65,7340,8950,65,test,False
20,20_66,8950,10000,66,test,False
20,20_67,10000,14950,67,test,False
20,20_68,14950,15980,68,test,False
20,20_69,15980,18250,69,test,False
20,20_70,18250,20180,70,test,False
20,20_71,20180,25380,71,test,False
20,20_72,25380,28310,72,test,False
20,20_73,28310,32240,73,test,False
20,20_74,32240,33800,74,test,False
20,20_75,33800,37000,75,test,False
20,20_76,37000,38740,76,test,False
20,20_77,38740,40440,77,test,False
20,20_78,40440,43971,78,test,False
21,21_79,0,6690,79,train,True
21,21_80,6690,17321,80,train,True
23,23_81,0,6220,81,train,True
23,23_82,6220,11856,82,train,True
24,24_83,0,8790,83,train,True
24,24_84,8790,15015,84,train,True
26,26_85,0,9240,85,test,False
26,26_86,9240,16666,86,test,False
27,27_87,0,710,87,train,True
27,27_88,710,2600,88,train,True
27,27_89,2600,5060,89,train,True
27,27_90,5060,6110,90,train,True
27,27_91,6110,8620,91,train,True
27,27_92,8620,10720,92,train,True
27,27_93,10720,11320,93,train,True
27,27_94,11320,12130,94,train,True
27,27_95,12130,14060,95,train,True
27,27_96,14060,16710,96,train,True
27,27_97,16710,21120,97,train,True
27,27_98,21120,24410,98,train,True
27,27_99,24410,28240,99,train,True
27,27_100,28240,31340,100,train,True
27,27_101,31340,35361,101,train,True
29,29_102,0,1100,102,train,True
29,29_103,1100,2600,103,train,True
29,29_104,2600,4530,104,train,True
29,29_105,4530,5080,105,train,True
29,29_106,5080,6640,106,train,True
29,29_107,6640,8670,107,train,True
29,29_108,8670,11830,108,train,True
29,29_109,11830,13630,109,train,True
29,29_110,13630,15080,110,train,True
29,29_111,15080,17150,111,train,True
29,29_112,17150,18970,112,train,True
29,29_113,18970,20430,113,train,True
29,29_114,20430,21358,114,train,True
30,30_115,0,3080,115,train,True
30,30_116,3080,6870,116,train,True
30,30_117,6870,11140,117,train,True
30,30_118,11140,15390,118,train,True
30,30_119,15390,18710,119,train,True
30,30_120,18710,20310,120,train,True
30,30_121,20310,23863,121,train,True
31,31_122,0,3020,122,train,True
31,31_123,3020,6720,123,train,True
31,31_124,6720,9110,124,train,True
31,31_125,9110,11610,125,train,True
31,31_126,11610,14310,126,train,True
31,31_127,14310,15587,127,train,True
32,32_128,0,1200,128,train,True
32,32_129,1200,2620,129,train,True
32,32_130,2620,6440,130,train,True
32,32_131,6440,8990,131,train,True
32,32_132,8990,11310,132,train,True
32,32_133,11310,13040,133,train,True
32,32_134,13040,15400,134,train,True
32,32_135,15400,17600,135,train,True
32,32_136,17600,19500,136,train,True
32,32_137,19500,20960,137,train,True
36,36_138,0,830,138,train,True
36,36_139,830,3090,139,train,True
36,36_140,3090,3880,140,train,True
36,36_141,3880,6560,141,train,True
36,36_142,6560,7300,142,train,True
36,36_143,7300,10070,143,train,True
36,36_144,10070,10750,144,train,True
36,36_145,10750,14710,145,train,True
36,36_146,14710,15380,146,train,True
36,36_147,15380,18190,147,train,True
36,36_148,18190,18790,148,train,True
36,36_149,18790,21660,149,train,True
36,36_150,21660,22110,150,train,True
36,36_151,22110,22609,151,train,True
41,41_152,0,360,152,train,True
41,41_153,360,1120,153,train,True
41,41_154,1120,1410,154,train,True
41,41_155,1410,2270,155,train,True
